,seed,strategy,dataset,minimal,recommended
0,1,central,central,"[{'server_type': 'acer', 'count': np.float64(25.041857567458827)}, {'server_type': 'hpe', 'count': np.float64(27.20936571183823)}, {'server_type': 'raspberry_pi_5', 'count': np.float64(20.069567926071098)}, {'server_type': 'sgi', 'count': np.float64(27.679208794631847)}]","[{'server_type': 'acer', 'count': np.float64(25.041857567458827)}, {'server_type': 'hpe', 'count': np.float64(27.20936571183823)}, {'server_type': 'raspberry_pi_5', 'count': np.float64(20.069567926071098)}, {'server_type': 'sgi', 'count': np.float64(27.679208794631847)}]"
1,1,community,community,"[{'server_type': 'acer', 'count': np.float64(24.307539277698428)}, {'server_type': 'hpe', 'count': np.float64(27.431901652723933)}, {'server_type': 'raspberry_pi_5', 'count': np.float64(21.146194654152215)}, {'server_type': 'sgi', 'count': np.float64(27.114364415425424)}]","[{'server_type': 'acer', 'count': np.float64(24.090575399336757)}, {'server_type': 'hpe', 'count': np.float64(27.228311773789333)}, {'server_type': 'raspberry_pi_5', 'count': np.float64(21.807204516112698)}, {'server_type': 'sgi', 'count': np.float64(26.87390831076121)}]"
2,1,p2p,p2p,"[{'server_type': 'acer', 'count': np.float64(24.990741169390308)}, {'server_type': 'hpe', 'count': np.float64(25.00578676913106)}, {'server_type': 'raspberry_pi_5', 'count': np.float64(24.997685292347576)}, {'server_type': 'sgi', 'count': np.float64(25.00578676913106)}]","[{'server_type': 'acer', 'count': np.float64(26.45200009798398)}, {'server_type': 'hpe', 'count': np.float64(26.46302329569116)}, {'server_type': 'raspberry_pi_5', 'count': np.float64(20.62195331063371)}, {'server_type': 'sgi', 'count': np.float64(26.46302329569116)}]"
3,2,central,central,"[{'server_type': 'acer', 'count': np.float64(24.981701555700464)}, {'server_type': 'hpe', 'count': np.float64(28.08112532105452)}, {'server_type': 'raspberry_pi_5', 'count': np.float64(18.588557816430008)}, {'server_type': 'sgi', 'count': np.float64(28.348615306815006)}]","[{'server_type': 'acer', 'count': np.float64(24.981701555700464)}, {'server_type': 'hpe', 'count': np.float64(28.08112532105452)}, {'server_type': 'raspberry_pi_5', 'count': np.float64(18.588557816430008)}, {'server_type': 'sgi', 'count': np.float64(28.348615306815006)}]"
4,2,community,community,"[{'server_type': 'acer', 'count': np.float64(24.127551020408163)}, {'server_type': 'hpe', 'count': np.float64(27.252551020408163)}, {'server_type': 'raspberry_pi_5', 'count': np.float64(21.49872448979592)}, {'server_type': 'sgi', 'count': np.float64(27.121173469387756)}]","[{'server_type': 'acer', 'count': np.float64(24.164550662872745)}, {'server_type': 'hpe', 'count': np.float64(27.1414171058172)}, {'server_type': 'raspberry_pi_5', 'count': np.float64(21.43650074644958)}, {'server_type': 'sgi', 'count': np.float64(27.25753148486047)}]"
5,2,p2p,p2p,"[{'server_type': 'acer', 'count': np.float64(24.94817902842916)}, {'server_type': 'hpe', 'count': np.float64(25.019975681778707)}, {'server_type': 'raspberry_pi_5', 'count': np.float64(25.01186960801343)}, {'server_type': 'sgi', 'count': np.float64(25.019975681778707)}]","[{'server_type': 'acer', 'count': np.float64(25.898262819052643)}, {'server_type': 'hpe', 'count': np.float64(25.903058349618156)}, {'server_type': 'raspberry_pi_5', 'count': np.float64(22.295620481711044)}, {'server_type': 'sgi', 'count': np.float64(25.903058349618156)}]"
6,3,central,central,"[{'server_type': 'acer', 'count': np.float64(25.81055140001324)}, {'server_type': 'hpe', 'count': np.float64(27.96187197987688)}, {'server_type': 'raspberry_pi_5', 'count': np.float64(17.9651817038459)}, {'server_type': 'sgi', 'count': np.float64(28.262394916263982)}]","[{'server_type': 'acer', 'count': np.float64(25.81055140001324)}, {'server_type': 'hpe', 'count': np.float64(27.96187197987688)}, {'server_type': 'raspberry_pi_5', 'count': np.float64(17.9651817038459)}, {'server_type': 'sgi', 'count': np.float64(28.262394916263982)}]"
7,3,community,community,"[{'server_type': 'acer', 'count': np.float64(24.619076641779674)}, {'server_type': 'hpe', 'count': np.float64(27.177611864492864)}, {'server_type': 'raspberry_pi_5', 'count': np.float64(21.266951089440806)}, {'server_type': 'sgi', 'count': np.float64(26.936360404286656)}]","[{'server_type': 'acer', 'count': np.float64(24.761576027204622)}, {'server_type': 'hpe', 'count': np.float64(27.404055125156606)}, {'server_type': 'raspberry_pi_5', 'count': np.float64(20.937843573419244)}, {'server_type': 'sgi', 'count': np.float64(26.896525274219528)}]"
8,3,p2p,p2p,"[{'server_type': 'acer', 'count': np.float64(24.94817902842916)}, {'server_type': 'hpe', 'count': np.float64(25.019975681778707)}, {'server_type': 'raspberry_pi_5', 'count': np.float64(25.01186960801343)}, {'server_type': 'sgi', 'count': np.float64(25.019975681778707)}]","[{'server_type': 'acer', 'count': np.float64(26.90511277068711)}, {'server_type': 'hpe', 'count': np.float64(26.982541149436774)}, {'server_type': 'raspberry_pi_5', 'count': np.float64(19.12980493043934)}, {'server_type': 'sgi', 'count': np.float64(26.982541149436774)}]"
9,4,central,central,"[{'server_type': 'acer', 'count': np.float64(25.69008034364808)}, {'server_type': 'hpe', 'count': np.float64(28.189218571845252)}, {'server_type': 'raspberry_pi_5', 'count': np.float64(18.138307745339805)}, {'server_type': 'sgi', 'count': np.float64(27.982393339166865)}]","[{'server_type': 'acer', 'count': np.float64(25.69008034364808)}, {'server_type': 'hpe', 'count': np.float64(28.189218571845252)}, {'server_type': 'raspberry_pi_5', 'count': np.float64(18.138307745339805)}, {'server_type': 'sgi', 'count': np.float64(27.982393339166865)}]"
10,4,community,community,"[{'server_type': 'acer', 'count': np.float64(24.23497963340122)}, {'server_type': 'hpe', 'count': np.float64(27.379073319755605)}, {'server_type': 'raspberry_pi_5', 'count': np.float64(21.390020366598776)}, {'server_type': 'sgi', 'count': np.float64(26.9959266802444)}]","[{'server_type': 'acer', 'count': np.float64(24.201635642200078)}, {'server_type': 'hpe', 'count': np.float64(27.476747598208707)}, {'server_type': 'raspberry_pi_5', 'count': np.float64(21.12045318261269)}, {'server_type': 'sgi', 'count': np.float64(27.201163576978526)}]"
11,4,p2p,p2p,"[{'server_type': 'acer', 'count': np.float64(25.000289301625877)}, {'server_type': 'hpe', 'count': np.float64(25.002603714632876)}, {'server_type': 'raspberry_pi_5', 'count': np.float64(24.994503269108375)}, {'server_type': 'sgi', 'count': np.float64(25.002603714632876)}]","[{'server_type': 'acer', 'count': np.float64(26.503747868438165)}, {'server_type': 'hpe', 'count': np.float64(26.506201464797023)}, {'server_type': 'raspberry_pi_5', 'count': np.float64(20.483849201967786)}, {'server_type': 'sgi', 'count': np.float64(26.506201464797023)}]"
12,5,central,central,"[{'server_type': 'acer', 'count': np.float64(25.11203627588767)}, {'server_type': 'hpe', 'count': np.float64(27.788974039404945)}, {'server_type': 'raspberry_pi_5', 'count': np.float64(18.608628782052982)}, {'server_type': 'sgi', 'count': np.float64(28.4903609026544)}]","[{'server_type': 'acer', 'count': np.float64(25.11203627588767)}, {'server_type': 'hpe', 'count': np.float64(27.788974039404945)}, {'server_type': 'raspberry_pi_5', 'count': np.float64(18.608628782052982)}, {'server_type': 'sgi', 'count': np.float64(28.4903609026544)}]"
13,5,community,community,"[{'server_type': 'acer', 'count': np.float64(24.721991073454873)}, {'server_type': 'hpe', 'count': np.float64(26.609425826461912)}, {'server_type': 'raspberry_pi_5', 'count': np.float64(21.800690924679124)}, {'server_type': 'sgi', 'count': np.float64(26.86789217540409)}]","[{'server_type': 'acer', 'count': np.float64(24.508232919058734)}, {'server_type': 'hpe', 'count': np.float64(26.63301999873825)}, {'server_type': 'raspberry_pi_5', 'count': np.float64(21.910289571635857)}, {'server_type': 'sgi', 'count': np.float64(26.94845751056716)}]"
14,5,p2p,p2p,"[{'server_type': 'acer', 'count': np.float64(25.01765966070291)}, {'server_type': 'hpe', 'count': np.float64(25.019975681778707)}, {'server_type': 'raspberry_pi_5', 'count': np.float64(24.94238897573968)}, {'server_type': 'sgi', 'count': np.float64(25.019975681778707)}]","[{'server_type': 'acer', 'count': np.float64(26.276164876731656)}, {'server_type': 'hpe', 'count': np.float64(26.278597404492878)}, {'server_type': 'raspberry_pi_5', 'count': np.float64(21.166640314282585)}, {'server_type': 'sgi', 'count': np.float64(26.278597404492878)}]"
